fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210905 103404	-0.92637689558469	6148	415	16	5	2278750
20210905 103445	-0.343637690316245	5180	1591	12	5	2206250
20210905 103512	-0.613552617568348	4937	575	6	5	2130000
20210905 103607	-0.496401008235989	3583	1203	13	5	2653750
20210905 103709	-0.230606968361826	2361	727	19	5	4052500
20210905 103749	-0.249601164857449	3211	60	10	5	2906250
20210905 103846	-0.758226240859949	7364	150	19	5	2278750
20210905 103904	-0.143901075470785	6982	1353	3	5	2432500
20210905 103944	-0.680528373480774	4052	1877	17	5	2222500
20210905 104009	-0.997974994900869	5539	1122	5	5	2018750
20210905 104033	0.0222385299668533	7963	307	14	5	0
20210905 104054	-0.0771617504348977	4340	1796	4	5	1948750
20210905 104134	-0.651847926755436	7806	948	12	5	2432500
20210905 104219	-0.413733648671769	6345	344	14	5	2278750
20210905 104256	-0.265700713242404	2705	621	9	5	3558750
20210905 104340	-0.510701699717902	2841	1129	13	5	3008750
20210905 104432	-0.280746870844039	1258	625	20	5	3795000
20210905 104519	-0.21888088890137	1950	973	20	5	2652500
20210905 104608	-0.299873213346549	2252	718	20	5	3668750
20210905 104659	-0.213953460530744	1813	673	20	5	3962500
20210905 104802	-0.244956251781062	1446	716	16	5	4215000
20210905 104836	-0.231201999869329	1479	728	7	5	3790000
20210905 104940	-0.247673481314584	1503	710	19	5	4391250
20210905 105029	-0.25217351724289	1690	697	20	5	4067500
20210905 105133	-0.223525978334745	1432	714	18	5	4512500
20210905 105222	-0.140882282611842	1477	730	18	5	3782500
20210905 105303	-0.3713619599777	1500	749	10	5	3895000
20210905 105350	-0.226108312770163	1410	704	12	5	4113750
20210905 105440	-0.443111934010443	1452	726	18	5	3782500
20210905 105523	-0.244011596354936	1009	502	10	5	3797500
20210905 105614	-0.236120797823826	1348	665	18	5	4032500
20210905 105633	-0.473860857229502	1726	762	3	5	2673750
20210905 105721	-0.196320756988588	2379	710	20	5	3957500
20210905 105814	-0.228364365027288	1163	570	19	5	3948750
20210905 105905	-0.212819075093704	1507	582	19	5	4221250
20210905 105954	-0.213262349520653	1486	726	20	5	3782500
20210905 110045	-0.102597169195352	1419	601	19	5	4445000
20210905 110133	-0.146567826564135	5829	598	19	5	2076250
20210905 110223	-0.0836079967466584	2049	610	19	5	3730000
20210905 110313	-0.101899107301104	2029	576	16	5	3746250
20210905 110400	-0.228583771102293	3514	711	20	5	2628750
20210905 110441	-0.454566315065417	7120	1646	18	5	2315000
20210905 110543	-0.962682359379949	3655	77	19	5	2562500
20210905 110609	-0.699578173506865	1663	171	5	5	3333750
20210905 110651	-0.310141432871623	5929	1343	15	5	1686250
20210905 110713	-0.788146237126016	6057	414	4	5	2230000
20210905 110749	-0.486375807684474	7795	1018	9	5	2432500
20210905 110831	-0.668502367250924	6642	772	12	5	2278750
