fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	min_data_in_leaf	num_leaves	max_bin	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211117 225844	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0487603741590865	0.446482801474631	0.742081964579993	72	7.43217393595842	4417	680	23	41.015659069526	72.5226533930982	0.0415798414969915	1	6040000
20211117 230052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	289	TRUE	0.045876834529452	0.224913153345115	0.651213595911977	46	8.30010167177534	4999	268	42	26.4862519421149	9.06189268920571	0.0410526139606504	2	6168750
20211117 230151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0686613631695509	0.753551681618555	0.625139305102057	48	9.44407775058062	1539	503	20	43.9625222864561	35.6810502381995	0.0428267764638933	3	6303750
20211117 230507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	286	TRUE	0.0580806210217997	0.519464151663706	0.567117946912185	42	4.76803134745569	1257	388	65	6.76962773897685	52.7418791281525	0.0395964617174228	4	6236250
20211117 230614	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	0.0794173206728883	0.402174589122878	0.684816828059265	42	6.80528898595367	4051	749	35	67.9006840137299	37.6702908152947	0.0444000903818634	5	5618750
20211117 230747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	117	TRUE	0.0544723058789968	0.497586146085523	0.38547097896284	65	1.64378116137232	4258	456	54	50.3925527946558	86.5079338609939	0.0435464838944541	6	5496250
20211117 230851	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	175	TRUE	0.0646203120439313	0.638810108331381	0.685979908717563	50	10.5232944117452	5235	647	31	22.6234865747392	84.8639705206733	0.0460989346656289	7	5965000
20211117 231140	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	227	TRUE	0.0408253954909742	0.740428516832762	0.452071489493246	20	6.52825674435007	157	949	81	3.88876149721909	51.5961188473739	0.037855773978392	8	6196250
20211117 231312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	286	TRUE	0.037232559829019	0.135500481965137	0.280179154023062	58	3.66316433818429	6110	375	56	31.263873554999	25.6387482630089	0.045337383779803	9	5328750
20211117 231539	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0352424070672132	0.557984956982546	0.549721576897428	67	5.013985728845	7936	879	17	93.7952198518906	13.5939564584987	0.0428267764638933	10	5553750
20211117 231602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.0767862834362313	0.882401068076724	0.152212796333479	26	2.93906546925427	1013	673	85	39.2011528700823	21.0159556294093	0.0380733599457709	11	5963750
20211117 231708	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0847575007919222	0.257514959491673	0.513999572746106	36	3.95838802767685	2202	136	17	99.8706191038946	46.9551410345593	0.0435799586586662	12	6041250
